,Ticker,VaR99
0,SMB,-2.11
1,SHP,-2.99
2,NCT,-3.06
3,VPI,-3.25
4,HTI,-3.27
5,KDC,-3.42
6,CHP,-3.42
7,SCS,-3.45
8,FIR,-3.5
9,OPC,-3.62
10,SJD,-3.75
11,VJC,-3.85
12,VNM,-3.85
13,DSN,-3.88
14,DBD,-3.9
15,CLC,-3.99
16,CLL,-4.1
17,DVP,-4.12
18,SSB,-4.15
19,PPC,-4.3
20,KOS,-4.31
21,SAB,-4.34
22,SGN,-4.42
23,NSC,-4.53
24,TBC,-4.55
25,SBV,-4.61
26,TCL,-4.63
27,AGG,-4.65
28,TRA,-4.69
29,DRL,-4.71
30,VCB,-4.72
31,DHM,-4.76
32,CDC,-4.82
33,HHP,-4.85
34,LIX,-5.06
35,SBA,-5.1
36,CAV,-5.18
37,DHG,-5.27
38,TYA,-5.37
39,S4A,-5.37
40,GDT,-5.43
41,BHN,-5.45
42,PGV,-5.49
43,ILB,-5.49
44,DCL,-5.5
45,BMP,-5.55
46,VHM,-5.59
47,VNL,-5.81
48,VIC,-5.95
49,IMP,-5.99
50,PGI,-6.01
51,HDB,-6.03
52,FPT,-6.05
53,TN1,-6.12
54,PGD,-6.16
55,DTL,-6.17
56,SZL,-6.23
57,TIX,-6.24
58,SAV,-6.24
59,PAC,-6.34
60,ACB,-6.35
61,TDP,-6.39
62,TMP,-6.39
63,BTP,-6.39
64,ICT,-6.52
65,THI,-6.54
66,TVT,-6.55
67,TCT,-6.57
68,PGC,-6.59
69,VTB,-6.59
70,SRF,-6.6
71,DBT,-6.63
72,VPS,-6.67
73,SPM,-6.67
74,TTA,-6.69
75,HTV,-6.71
76,CSM,-6.72
77,VNS,-6.74
78,VCA,-6.74
79,BIC,-6.75
80,CTF,-6.75
81,BRC,-6.76
82,MBB,-6.78
83,OCB,-6.78
84,VTO,-6.81
85,SC5,-6.81
86,UIC,-6.81
87,NNC,-6.82
88,VPD,-6.82
89,RAL,-6.83
90,BWE,-6.83
91,SFI,-6.83
92,VNE,-6.84
93,TPB,-6.85
94,SHI,-6.85
95,ACG,-6.85
