,Ticker,VaR99
96,APC,-6.86
97,HVX,-6.86
98,SHA,-6.86
99,SHB,-6.87
100,TDM,-6.87
101,NHH,-6.87
102,SCD,-6.87
103,EVF,-6.87
104,EVE,-6.87
105,ITD,-6.88
106,TVS,-6.88
107,CTG,-6.88
108,HPG,-6.89
109,VPB,-6.89
110,GMC,-6.89
111,MSN,-6.89
112,TV2,-6.89
113,HVN,-6.89
114,PVT,-6.89
115,HMC,-6.89
116,C32,-6.9
117,VID,-6.9
118,SJS,-6.9
119,DHC,-6.9
120,VIB,-6.9
121,BID,-6.9
122,NTL,-6.9
123,CRE,-6.9
124,ABT,-6.91
125,POM,-6.91
126,GSP,-6.91
127,GMH,-6.91
128,MSH,-6.91
129,TCR,-6.91
130,BAF,-6.91
131,DHA,-6.91
132,BVH,-6.91
133,MSB,-6.91
134,POW,-6.91
135,VRE,-6.92
136,GMD,-6.92
137,VNG,-6.92
138,PNC,-6.92
139,NT2,-6.92
140,LM8,-6.92
141,HUB,-6.93
142,CMG,-6.93
143,HVH,-6.93
144,ASP,-6.93
145,TRC,-6.93
146,DPR,-6.93
147,THG,-6.93
148,HII,-6.93
149,TEG,-6.93
150,GEG,-6.93
151,KPF,-6.93
152,SSC,-6.93
153,PNJ,-6.94
154,AAM,-6.94
155,RDP,-6.94
156,REE,-6.94
157,KHP,-6.94
158,VSC,-6.94
159,DRC,-6.94
160,STK,-6.94
161,VOS,-6.94
162,CRC,-6.94
163,CTI,-6.94
164,TPC,-6.94
165,TMS,-6.94
166,EIB,-6.94
167,GAS,-6.94
168,TCM,-6.94
169,SVT,-6.94
170,AAA,-6.94
171,HAS,-6.94
172,ST8,-6.94
173,SKG,-6.94
174,STB,-6.94
175,HSG,-6.95
176,VND,-6.95
177,BMC,-6.95
178,VSI,-6.95
179,TNH,-6.95
180,PDR,-6.95
181,D2D,-6.95
182,PIT,-6.95
183,DBC,-6.95
184,NAV,-6.95
185,NAF,-6.95
186,DC4,-6.95
187,ACC,-6.95
188,SFG,-6.95
189,DTT,-6.95
190,TNA,-6.95
191,KDH,-6.95
192,FMC,-6.95
193,LEC,-6.95
194,FCM,-6.95
195,MIG,-6.95
196,VMD,-6.96
197,TDH,-6.96
198,VPG,-6.96
199,TNC,-6.96
200,TLD,-6.96
201,TLG,-6.96
202,SBT,-6.96
203,TLH,-6.96
204,YBM,-6.96
205,SGR,-6.96
206,SMA,-6.96
207,TNI,-6.96
208,LSS,-6.96
209,ORS,-6.96
210,C47,-6.96
211,HU1,-6.96
212,HAX,-6.96
213,HAP,-6.96
214,IJC,-6.96
215,KHG,-6.96
216,DTA,-6.96
217,LPB,-6.96
218,MHC,-6.96
219,CCL,-6.96
220,DAG,-6.96
221,APH,-6.96
222,BFC,-6.96
223,BBC,-6.96
224,AGR,-6.96
225,AGM,-6.97
226,ELC,-6.97
227,FTS,-6.97
228,GVR,-6.97
229,TCB,-6.97
230,HAG,-6.97
231,BKG,-6.97
232,HAR,-6.97
233,DXV,-6.97
234,ADG,-6.97
235,SSI,-6.97
236,HDG,-6.97
237,SMC,-6.97
238,HHS,-6.97
239,ADS,-6.97
240,ASM,-6.97
241,DXS,-6.97
242,CTD,-6.97
243,BCM,-6.97
244,BCE,-6.97
245,VFG,-6.97
246,VDS,-6.97
247,VCI,-6.97
248,COM,-6.97
249,TTF,-6.97
250,VIP,-6.97
251,HOT,-6.97
252,DAH,-6.97
253,DAT,-6.97
254,TMT,-6.97
255,DPM,-6.97
256,DQC,-6.97
257,HHV,-6.97
258,GEX,-6.97
259,PTB,-6.97
260,PHR,-6.97
261,MWG,-6.97
262,HSL,-6.97
263,HT1,-6.97
264,PLP,-6.97
265,LHG,-6.97
266,NVT,-6.97
267,NLG,-6.97
268,HU3,-6.97
269,CNG,-6.98
270,PTC,-6.98
271,CSV,-6.98
272,TVB,-6.98
273,DCM,-6.98
274,PVD,-6.98
275,VCG,-6.98
276,QBS,-6.98
277,QCG,-6.98
278,SJF,-6.98
279,TNT,-6.98
280,DGC,-6.98
281,CTS,-6.98
282,BMI,-6.98
283,CII,-6.98
284,NBB,-6.98
285,TIP,-6.98
286,NHA,-6.98
287,PHC,-6.98
288,VPH,-6.98
289,VRC,-6.98
290,VSH,-6.98
291,PC1,-6.98
292,ACL,-6.98
293,ABS,-6.98
294,AAT,-6.98
295,LGL,-6.98
296,YEG,-6.98
297,SAM,-6.98
298,HTN,-6.98
299,TCH,-6.98
300,ITC,-6.98
301,TCO,-6.98
302,SZC,-6.98
303,SVI,-6.98
304,JVC,-6.98
305,SVD,-6.98
306,EVG,-6.98
307,ITA,-6.98
308,SGT,-6.98
309,AMD,-6.99
310,HCD,-6.99
311,CIG,-6.99
312,SCR,-6.99
313,HNG,-6.99
314,HAH,-6.99
315,PLX,-6.99
316,HID,-6.99
317,VIX,-6.99
318,BSI,-6.99
319,HQC,-6.99
320,IDI,-6.99
321,HDC,-6.99
322,OGC,-6.99
323,PET,-6.99
324,IBC,-6.99
325,NKG,-6.99
326,VHC,-6.99
327,NVL,-6.99
328,APG,-6.99
329,ANV,-6.99
330,HCM,-6.99
331,HBC,-6.99
332,PSH,-6.99
333,VGC,-6.99
334,TSC,-6.99
335,KSB,-6.99
336,LDG,-6.99
337,KBC,-6.99
338,DLG,-6.99
339,DIG,-6.99
340,DGW,-6.99
341,TGG,-6.99
342,FCN,-6.99
343,FIT,-6.99
344,FRT,-6.99
345,MCG,-6.99
346,TDG,-6.99
347,TDC,-6.99
348,GIL,-6.99
349,KMR,-6.99
350,CKG,-6.99
351,UDC,-6.99
352,CMX,-6.99
353,PTL,-6.99
354,PAN,-6.99
355,CTR,-6.99
356,TTB,-6.99
357,HPX,-6.99
358,BCG,-7.0
359,DPG,-7.0
360,TCD,-7.0
361,LCG,-7.0
362,DRH,-7.0
363,DXG,-7.0
