,Ticker,VaR95
0,DDG,-1.14
1,SAF,-1.33
2,DHT,-1.48
3,BCF,-2.25
4,CAP,-2.45
5,SED,-2.86
6,HAD,-2.94
7,BAB,-2.96
8,GKM,-2.97
9,SLS,-3.05
10,NAG,-3.13
11,SCG,-3.15
12,TMC,-3.21
13,NTP,-3.25
14,PVI,-3.33
15,TV4,-3.4
16,IDV,-3.47
17,NET,-3.49
18,PPP,-3.72
19,SZB,-3.73
20,GMX,-3.75
21,VC3,-3.75
22,DP3,-3.76
23,PGN,-3.84
24,HVT,-4.03
25,KSF,-4.09
26,PGS,-4.15
27,TKG,-4.18
28,TV3,-4.19
29,INN,-4.24
30,DVM,-4.33
31,DNP,-4.34
32,VCS,-4.37
33,CIA,-4.53
34,STP,-4.55
35,VNR,-4.58
36,TDT,-4.61
37,AME,-4.62
38,PPS,-4.76
39,HCC,-4.76
40,SD5,-4.86
41,HTP,-5.08
42,C69,-5.08
43,LHC,-5.16
44,DAD,-5.31
45,RCL,-5.31
46,PTS,-5.34
47,VBC,-5.37
48,HGM,-5.54
49,D11,-5.6
50,KSD,-5.62
51,TFC,-5.62
52,TA9,-5.63
53,DXP,-5.67
54,PCT,-5.71
55,THT,-5.72
56,CPC,-5.76
57,HMH,-5.77
58,VTV,-5.8
59,PSE,-5.8
60,CAG,-5.82
61,NDX,-5.84
62,HAT,-5.96
63,BNA,-5.98
64,TKU,-6.03
65,SHN,-6.04
66,GIC,-6.09
67,BTW,-6.11
68,HOM,-6.15
69,SJE,-6.23
70,SDT,-6.25
71,VDL,-6.26
72,NVB,-6.28
73,SHE,-6.3
74,DS3,-6.56
75,HBS,-6.79
76,SD4,-6.81
77,BVS,-6.81
78,MDC,-6.83
79,EVS,-6.84
80,HLC,-6.87
81,HDA,-6.9
82,HHC,-6.91
83,BTS,-6.91
84,SPI,-6.91
85,SD9,-6.92
86,KTS,-6.98
87,SRA,-6.98
88,IVS,-6.99
89,V21,-7.05
90,HJS,-7.06
91,NDN,-7.08
92,TPH,-7.08
93,EBS,-7.1
94,CCR,-7.11
95,VNF,-7.13
96,PSW,-7.15
97,TMB,-7.16
98,POT,-7.19
99,PGT,-7.2
100,PPY,-7.2
101,MAS,-7.22
102,DIH,-7.31
103,WSS,-7.33
104,PSD,-7.36
105,SJ1,-7.39
106,PVS,-7.48
107,TPP,-7.5
108,CVN,-7.51
109,CTB,-7.52
110,VE1,-7.53
111,CTP,-7.54
112,VIT,-7.56
113,L62,-7.57
114,SD6,-7.64
115,PCG,-7.65
116,DVG,-7.67
117,HLD,-7.75
118,VSM,-7.77
119,TDN,-7.79
120,TOT,-7.84
121,BPC,-7.85
122,TKC,-7.88
123,TIG,-7.95
124,AMV,-7.96
125,NBP,-7.97
126,LAS,-7.99
127,HMR,-8.0
128,PLC,-8.01
129,TNG,-8.02
130,ICG,-8.03
131,TVD,-8.03
132,SCI,-8.03
133,VMS,-8.04
134,TTH,-8.06
135,VHE,-8.07
136,TTL,-8.09
137,PMS,-8.15
138,IDC,-8.16
139,SVN,-8.17
140,CMC,-8.18
141,VE8,-8.2
142,THD,-8.21
143,HHG,-8.22
144,VCC,-8.24
145,MAC,-8.24
146,CTC,-8.27
147,DAE,-8.31
148,VHL,-8.33
149,SSM,-8.33
150,DTD,-8.36
151,DC2,-8.37
152,VTC,-8.39
153,FID,-8.4
154,BKC,-8.41
155,CET,-8.42
156,DTC,-8.42
157,PV2,-8.43
158,UNI,-8.54
159,SHS,-8.59
160,MBG,-8.6
161,TC6,-8.61
162,LM7,-8.66
163,PVB,-8.68
164,PDB,-8.7
165,PCH,-8.77
166,S99,-8.78
167,VC6,-8.78
168,AAV,-8.79
169,DL1,-8.82
170,KVC,-8.82
171,STC,-8.83
172,NSH,-8.87
173,NBC,-8.94
174,BCC,-8.95
175,PSI,-8.96
176,TAR,-8.98
177,MST,-8.98
178,LIG,-9.02
179,SDN,-9.05
180,PVG,-9.07
181,KSQ,-9.09
182,NRC,-9.09
183,VKC,-9.09
184,DST,-9.09
185,TVC,-9.09
186,VTZ,-9.09
187,MBS,-9.12
188,TSB,-9.12
189,VIG,-9.26
190,VTH,-9.28
191,VC9,-9.3
192,VC7,-9.33
193,KKC,-9.33
194,BII,-9.35
195,HUT,-9.36
196,NBW,-9.38
197,ITQ,-9.4
198,IPA,-9.41
199,VC2,-9.41
200,PTI,-9.41
201,MCO,-9.45
202,CMS,-9.45
203,VGS,-9.48
204,V12,-9.54
205,PVL,-9.54
206,KHS,-9.58
207,LDP,-9.61
208,SIC,-9.63
209,PVC,-9.64
210,CSC,-9.64
211,SMT,-9.66
212,APS,-9.73
213,SDA,-9.74
214,PMP,-9.79
215,L40,-9.8
216,PBP,-9.8
217,IDJ,-9.83
218,API,-9.84
219,L18,-9.85
220,CAN,-9.86
221,VNT,-9.86
222,CEO,-9.92
223,L14,-9.99
