,Ticker,CVaR95
0,SMB,-0.018
1,OPC,-0.026
2,KOS,-0.028
3,KDC,-0.028
4,SHP,-0.028
5,NCT,-0.029
6,CHP,-0.03
7,VNM,-0.032
8,TRA,-0.032
9,HTI,-0.032
10,SJD,-0.033
11,FIR,-0.033
12,SCS,-0.033
13,DBD,-0.034
14,CLC,-0.034
15,VPI,-0.034
16,SSB,-0.035
17,CLL,-0.035
18,DVP,-0.035
19,VJC,-0.035
20,CDC,-0.036
21,DSN,-0.036
22,SAB,-0.038
23,NSC,-0.039
24,TBC,-0.039
25,SBV,-0.04
26,VCB,-0.04
27,SBA,-0.04
28,TCL,-0.04
29,SGN,-0.041
30,PPC,-0.041
31,DHM,-0.041
32,LIX,-0.041
33,GDT,-0.042
34,CAV,-0.042
35,DHG,-0.043
36,AGG,-0.043
37,VPD,-0.043
38,BHN,-0.044
39,TYA,-0.045
40,VHM,-0.045
41,PGI,-0.045
42,DCL,-0.046
43,HHP,-0.046
44,PGV,-0.046
45,SZL,-0.048
46,VIC,-0.048
47,DRL,-0.048
48,TIX,-0.048
49,S4A,-0.049
50,IMP,-0.049
51,ICT,-0.049
52,BMP,-0.049
53,CTF,-0.05
54,HDB,-0.05
55,FPT,-0.05
56,TMP,-0.051
57,ILB,-0.052
58,VNL,-0.052
59,TN1,-0.052
60,PGD,-0.053
61,ACB,-0.053
62,VTB,-0.054
63,TVT,-0.054
64,DTL,-0.054
65,BIC,-0.054
66,CSM,-0.054
67,TDM,-0.055
68,BTP,-0.055
69,DBT,-0.055
70,RAL,-0.055
71,PAC,-0.055
72,PNJ,-0.055
73,SCD,-0.056
74,TCT,-0.056
75,PGC,-0.056
76,SAV,-0.056
77,TCM,-0.057
78,ACG,-0.057
79,TTA,-0.058
80,SJS,-0.058
81,SHI,-0.058
82,SFI,-0.058
83,VPS,-0.058
84,HTV,-0.058
85,TDP,-0.059
86,SRF,-0.059
87,TPB,-0.059
88,OCB,-0.059
89,HMC,-0.06
90,VPB,-0.06
91,DHC,-0.06
92,VID,-0.06
93,APC,-0.06
94,BWE,-0.06
95,NNC,-0.06
96,PLX,-0.061
97,GAS,-0.061
98,MSN,-0.061
99,CTG,-0.061
100,BVH,-0.061
101,GSP,-0.061
102,THI,-0.061
103,VNS,-0.061
104,VIB,-0.061
105,C32,-0.061
106,SVT,-0.061
107,VCA,-0.062
108,MSB,-0.062
109,BID,-0.062
110,TV2,-0.062
111,TRC,-0.062
112,SFG,-0.062
113,TMS,-0.062
114,VSC,-0.062
115,VTO,-0.063
116,MSH,-0.063
117,BRC,-0.063
118,LM8,-0.063
119,SPM,-0.063
120,UIC,-0.063
121,SHA,-0.063
122,AAM,-0.064
123,MBB,-0.064
124,HPG,-0.064
125,PTB,-0.064
126,HVN,-0.064
127,SC5,-0.064
128,THG,-0.064
129,DHA,-0.064
130,BCM,-0.064
131,CMG,-0.064
132,GMD,-0.064
133,VNE,-0.064
134,VNG,-0.064
135,TLG,-0.064
136,POM,-0.065
137,STK,-0.065
138,EVF,-0.065
139,HVX,-0.065
140,VRE,-0.065
141,SHB,-0.065
142,D2D,-0.065
143,BBC,-0.066
144,KDH,-0.066
145,EVE,-0.066
146,FMC,-0.066
147,CRE,-0.066
148,TVS,-0.066
149,NHH,-0.067
150,ADG,-0.067
151,REE,-0.067
152,VIP,-0.067
153,TCB,-0.067
154,GMC,-0.067
155,SSC,-0.067
156,DRC,-0.068
157,VMD,-0.068
158,PVT,-0.068
159,HVH,-0.068
160,VDS,-0.068
161,CRC,-0.068
162,HII,-0.068
163,LPB,-0.068
164,BAF,-0.068
165,VSI,-0.068
166,DPR,-0.068
167,TNH,-0.068
168,HAS,-0.068
169,PNC,-0.068
170,ITD,-0.068
171,YBM,-0.068
172,HU3,-0.068
173,ABT,-0.068
174,EIB,-0.068
175,ACC,-0.068
176,SKG,-0.068
177,TNA,-0.068
178,NAV,-0.068
179,PSH,-0.069
180,ST8,-0.069
181,VOS,-0.069
182,SVD,-0.069
183,POW,-0.069
184,VPG,-0.069
185,PVD,-0.069
186,STB,-0.069
187,PIT,-0.069
188,VSH,-0.069
189,PLP,-0.069
190,TCO,-0.069
191,QCG,-0.069
192,SSI,-0.069
193,TLD,-0.069
194,RDP,-0.069
195,TCR,-0.069
196,TIP,-0.069
197,TLH,-0.069
198,TMT,-0.069
199,SGT,-0.069
200,SGR,-0.069
201,TNC,-0.069
202,SMA,-0.069
203,TNI,-0.069
204,TPC,-0.069
205,SVI,-0.069
206,TTB,-0.069
207,TTF,-0.069
208,SBT,-0.069
209,TVB,-0.069
210,PHR,-0.069
211,TEG,-0.069
212,VCG,-0.069
213,SMC,-0.069
214,SAM,-0.069
215,TDH,-0.069
216,VND,-0.069
217,AAA,-0.069
218,LSS,-0.069
219,PHC,-0.069
220,HHV,-0.069
221,CTD,-0.069
222,HAP,-0.069
223,COM,-0.069
224,HAX,-0.069
225,HCD,-0.069
226,HDG,-0.069
227,HHS,-0.069
228,HNG,-0.069
229,C47,-0.069
230,HOT,-0.069
231,HSL,-0.069
232,HT1,-0.069
233,HTN,-0.069
234,HU1,-0.069
235,HUB,-0.069
236,CCL,-0.069
237,GVR,-0.069
238,CTI,-0.069
239,GMH,-0.069
240,GEG,-0.069
241,DPM,-0.069
242,DQC,-0.069
243,DTA,-0.069
244,DTT,-0.069
245,DC4,-0.069
246,DXS,-0.069
247,DXV,-0.069
248,ELC,-0.069
249,EVG,-0.069
250,FCM,-0.069
251,DBC,-0.069
252,DAT,-0.069
253,DAH,-0.069
254,FTS,-0.069
255,DAG,-0.069
256,IBC,-0.069
257,HSG,-0.069
258,IJC,-0.069
259,MHC,-0.069
260,ABS,-0.069
261,APH,-0.069
262,LHG,-0.069
263,ADS,-0.069
264,NTL,-0.069
265,ITA,-0.069
266,MIG,-0.069
267,ORS,-0.069
268,MWG,-0.069
269,NT2,-0.069
270,NAF,-0.069
271,AGM,-0.069
272,AGR,-0.069
273,NLG,-0.069
274,LEC,-0.069
275,PAN,-0.069
276,PDR,-0.069
277,KHP,-0.069
278,ASM,-0.069
279,ASP,-0.069
280,BCE,-0.069
281,BSI,-0.069
282,AAT,-0.069
283,BFC,-0.069
284,KPF,-0.069
285,BMI,-0.069
286,BMC,-0.069
287,KHG,-0.069
288,BKG,-0.069
289,VRC,-0.07
290,TSC,-0.07
291,DGC,-0.07
292,DCM,-0.07
293,ACL,-0.07
294,AMD,-0.07
295,CSV,-0.07
296,ANV,-0.07
297,CNG,-0.07
298,DIG,-0.07
299,VIX,-0.07
300,CIG,-0.07
301,CII,-0.07
302,CKG,-0.07
303,CMX,-0.07
304,VHC,-0.07
305,APG,-0.07
306,VGC,-0.07
307,VCI,-0.07
308,VPH,-0.07
309,CTR,-0.07
310,UDC,-0.07
311,CTS,-0.07
312,DGW,-0.07
313,GIL,-0.07
314,DLG,-0.07
315,DPG,-0.07
316,IDI,-0.07
317,ITC,-0.07
318,JVC,-0.07
319,KBC,-0.07
320,KMR,-0.07
321,SCR,-0.07
322,KSB,-0.07
323,LCG,-0.07
324,LDG,-0.07
325,LGL,-0.07
326,MCG,-0.07
327,NBB,-0.07
328,NHA,-0.07
329,QBS,-0.07
330,NKG,-0.07
331,PTL,-0.07
332,PTC,-0.07
333,NVL,-0.07
334,NVT,-0.07
335,OGC,-0.07
336,PC1,-0.07
337,SJF,-0.07
338,HQC,-0.07
339,HPX,-0.07
340,TDC,-0.07
341,TNT,-0.07
342,DRH,-0.07
343,DXG,-0.07
344,FCN,-0.07
345,FIT,-0.07
346,FRT,-0.07
347,TGG,-0.07
348,GEX,-0.07
349,PET,-0.07
350,TDG,-0.07
351,HAG,-0.07
352,HID,-0.07
353,HAH,-0.07
354,HAR,-0.07
355,TCH,-0.07
356,TCD,-0.07
357,HBC,-0.07
358,SZC,-0.07
359,HCM,-0.07
360,HDC,-0.07
361,YEG,-0.07
362,BCG,-0.076
363,VFG,-0.088
