,Ticker,CVaR99
291,LGL,-6.95
292,KMR,-6.95
293,KHG,-6.95
294,BSI,-6.95
295,JVC,-6.95
296,HAR,-6.95
297,CKG,-6.95
298,CNG,-6.95
299,HPX,-6.95
300,HOT,-6.95
301,HNG,-6.95
302,PC1,-6.95
303,CTD,-6.95
304,TCH,-6.95
305,ACL,-6.95
306,HCM,-6.95
307,CTS,-6.95
308,NKG,-6.95
309,UDC,-6.96
310,VRC,-6.96
311,VHC,-6.96
312,APG,-6.96
313,CII,-6.96
314,CSV,-6.96
315,CTR,-6.96
316,QBS,-6.96
317,FIT,-6.96
318,IBC,-6.96
319,TDC,-6.96
320,PET,-6.96
321,NVT,-6.96
322,NVL,-6.96
323,SCR,-6.96
324,MCG,-6.96
325,SJF,-6.96
326,KBC,-6.96
327,ITC,-6.96
328,IDI,-6.96
329,SZC,-6.96
330,YEG,-6.96
331,KSB,-6.97
332,FCN,-6.97
333,PTL,-6.97
334,PTC,-6.97
335,TSC,-6.97
336,OGC,-6.97
337,AMD,-6.97
338,DCM,-6.97
339,NHA,-6.97
340,NBB,-6.97
341,DRH,-6.97
342,LDG,-6.97
343,VGC,-6.97
344,DLG,-6.97
345,HID,-6.97
346,HAH,-6.97
347,TDG,-6.97
348,HBC,-6.97
349,TGG,-6.97
350,HDC,-6.97
351,DIG,-6.97
352,HQC,-6.97
353,VIX,-6.97
354,TCD,-6.97
355,DGW,-6.98
356,CIG,-6.98
357,ANV,-6.98
358,DPG,-6.98
359,DXG,-6.98
360,LCG,-6.98
361,FRT,-6.98
362,BCG,-7.56
363,VFG,-8.65
